Experiment,Participant,Item,Order,Condition,Match,AntecedentNumber,NounGender,TargetResponseIdentical,ResponseComplete,Structure,NumberError,GenderError,OtherDifferences,Segment,Duration,Pause,Syllable
experiment1,s1,53,20,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,53,20,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,53,20,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,67,21,ss,match,singular,feminine,FALSE,no,NA,NA,NA,NA,adverb,NA,NA,NA
experiment1,s1,67,21,ss,match,singular,feminine,FALSE,no,NA,NA,NA,NA,antecedent,NA,NA,NA
experiment1,s1,67,21,ss,match,singular,feminine,FALSE,no,NA,NA,NA,NA,attractor,NA,NA,NA
experiment1,s1,67,21,ss,match,singular,feminine,FALSE,no,NA,NA,NA,NA,onset,NA,NA,NA
experiment1,s1,67,21,ss,match,singular,feminine,FALSE,no,NA,NA,NA,NA,pronoun,NA,NA,NA
experiment1,s1,67,21,ss,match,singular,feminine,FALSE,no,NA,NA,NA,NA,verb,NA,NA,NA
experiment1,s1,67,21,ss,match,singular,feminine,FALSE,no,NA,NA,NA,NA,attractor_pronoun,NA,NA,NA
experiment1,s1,64,22,sp,mismatch,singular,feminine,FALSE,yes,with_preposition,yes,no,NA,adverb,NA,NA,NA
experiment1,s1,64,22,sp,mismatch,singular,feminine,FALSE,yes,with_preposition,yes,no,NA,antecedent,NA,NA,NA
experiment1,s1,64,22,sp,mismatch,singular,feminine,FALSE,yes,with_preposition,yes,no,NA,attractor,NA,NA,NA
experiment1,s1,64,22,sp,mismatch,singular,feminine,FALSE,yes,with_preposition,yes,no,NA,onset,NA,NA,NA
experiment1,s1,64,22,sp,mismatch,singular,feminine,FALSE,yes,with_preposition,yes,no,NA,pronoun,NA,NA,NA
experiment1,s1,64,22,sp,mismatch,singular,feminine,FALSE,yes,with_preposition,yes,no,NA,verb,NA,NA,NA
experiment1,s1,64,22,sp,mismatch,singular,feminine,FALSE,yes,with_preposition,yes,no,NA,attractor_pronoun,NA,NA,NA
experiment1,s1,73,23,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,73,23,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,73,23,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,73,23,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,73,23,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,73,23,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,73,23,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,86,24,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,adverb,400,0,4
experiment1,s1,86,24,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,antecedent,530,NA,4
experiment1,s1,86,24,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,attractor,530,0,4
experiment1,s1,86,24,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,onset,1936,NA,NA
experiment1,s1,86,24,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,pronoun,450,0,3
experiment1,s1,86,24,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,verb,570,0,4
experiment1,s1,86,24,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,850,0,7
experiment1,s1,10,25,pp,match,plural,masculine,FALSE,yes,with_preposition,no,no,incomplete,adverb,NA,NA,NA
experiment1,s1,10,25,pp,match,plural,masculine,FALSE,yes,with_preposition,no,no,incomplete,antecedent,NA,NA,NA
experiment1,s1,10,25,pp,match,plural,masculine,FALSE,yes,with_preposition,no,no,incomplete,attractor,NA,NA,NA
