ID	Item	Time	Group	Block	TaskSwitch	RT
7	19	Baseline	Faking	Compatible	No	605
7	4	Baseline	Faking	Compatible	Yes	611
7	17	Baseline	Faking	Compatible	Yes	723
7	7	Baseline	Faking	Compatible	Yes	598
7	7	Baseline	Faking	Compatible	No	578
7	5	Baseline	Faking	Compatible	No	594
7	11	Baseline	Faking	Compatible	Yes	565
7	9	Baseline	Faking	Compatible	Yes	572
7	6	Baseline	Faking	Compatible	No	609
7	6	Baseline	Faking	Compatible	No	533
7	9	Baseline	Faking	Compatible	No	601
7	12	Baseline	Faking	Compatible	Yes	555
7	12	Baseline	Faking	Compatible	No	526
7	8	Baseline	Faking	Compatible	Yes	615
7	17	Baseline	Faking	Compatible	Yes	616
7	3	Baseline	Faking	Compatible	Yes	550
7	3	Baseline	Faking	Compatible	No	606
7	13	Baseline	Faking	Compatible	Yes	667
7	2	Baseline	Faking	Compatible	Yes	641
7	14	Baseline	Faking	Compatible	Yes	579
7	14	Baseline	Faking	Compatible	No	555
7	15	Baseline	Faking	Compatible	No	543
7	4	Baseline	Faking	Compatible	Yes	526
7	16	Baseline	Faking	Compatible	Yes	552
7	1	Baseline	Faking	Compatible	Yes	769
7	15	Baseline	Faking	Compatible	Yes	528
7	9	Baseline	Faking	Compatible	Yes	601
7	16	Baseline	Faking	Compatible	Yes	499
7	16	Baseline	Faking	Compatible	No	484
7	12	Baseline	Faking	Compatible	No	555
7	12	Baseline	Faking	Compatible	No	462
7	19	Baseline	Faking	Compatible	No	605
7	17	Baseline	Faking	Compatible	No	503
7	4	Baseline	Faking	Compatible	Yes	525
7	20	Baseline	Faking	Compatible	Yes	573
7	20	Baseline	Faking	Compatible	No	494
7	1	Baseline	Faking	Compatible	Yes	468
7	13	Baseline	Faking	Compatible	Yes	668
7	13	Baseline	Faking	Compatible	No	506
7	11	Baseline	Faking	Compatible	No	545
7	7	Baseline	Faking	Compatible	Yes	571
7	6	Baseline	Faking	Compatible	No	554
7	6	Baseline	Faking	Compatible	No	551
7	18	Baseline	Faking	Compatible	Yes	659
7	18	Baseline	Faking	Compatible	No	575
7	3	Baseline	Faking	Compatible	Yes	495
7	3	Baseline	Faking	Compatible	No	534
7	17	Baseline	Faking	Compatible	Yes	558
7	4	Baseline	Faking	Compatible	Yes	479
7	14	Baseline	Faking	Compatible	Yes	548
7	5	Baseline	Faking	Compatible	Yes	497
7	15	Baseline	Faking	Compatible	Yes	510
7	9	Baseline	Faking	Compatible	Yes	604
7	19	Baseline	Faking	Compatible	Yes	803
